date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:09	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Sep%202025%2011:51:08%20GMT	https://web.archive.org/robots.txt		(from )
14:51:12	89368/89368	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2011:51:12%20GMT	https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146/http_/nextstagechallenge.org/index.html	(from )
14:51:13	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:23%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=FC38Hc5A	C:/Users/Alihan/Desktop/next/next/web-static.archive.org/_static/js/bundle-playback0e4c.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:14	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/Alihan/Desktop/next/next/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:15	9868/9868	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/Users/Alihan/Desktop/next/next/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:15	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:29%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/Users/Alihan/Desktop/next/next/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:15	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/Users/Alihan/Desktop/next/next/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:15%20GMT	https://web.archive.org/web/20250401235146im_/https://nextstagechallenge.org/wp-content/uploads/2020/04/logo.png	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146im_/https_/nextstagechallenge.org/wp-content/uploads/2020/04/logo.png	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:17	8413/8413	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Sep%202025%2011:51:17%20GMT	https://web.archive.org/web/20250401235155im_/https://nextstagechallenge.org/wp-content/uploads/2020/04/logo.png	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235155im_/https_/nextstagechallenge.org/wp-content/uploads/2020/04/logo.png	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:18%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-content/plugins/neos-plugins/style/plugin-neos.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-content/plugins/neos-plugins/style/plugin-neosdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:20	4959/4959	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2011:51:20%20GMT	https://web.archive.org/web/20250401235203cs_/https://nextstagechallenge.org/wp-content/plugins/neos-plugins/style/plugin-neos.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235203cs_/https_/nextstagechallenge.org/wp-content/plugins/neos-plugins/style/plugin-neosdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:21	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:21%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/style/bootstrap.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/style/bootstrapdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:22	141506/141506	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2011:51:22%20GMT	https://web.archive.org/web/20250401235205cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/style/bootstrap.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235205cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/style/bootstrapdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:23%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-includes/css/dist/block-library/style.min.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-includes/css/dist/block-library/style.mindd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:24	26193/26193	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2011:51:24%20GMT	https://web.archive.org/web/20250401235208cs_/https://nextstagechallenge.org/wp-includes/css/dist/block-library/style.min.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235208cs_/https_/nextstagechallenge.org/wp-includes/css/dist/block-library/style.mindd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:25	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:25%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:27%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slickdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:27	1130957/1130957	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:26%20GMT	https://web.archive.org/web/20250401235210cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235210cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:29	2350/2350	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2011:51:28%20GMT	https://web.archive.org/web/20250401235226cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235226cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slickdd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:29%20GMT	https://web.archive.org/web/20250401235146cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick-theme.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick-themedd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:32	4296/4296	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2011:51:32%20GMT	https://web.archive.org/web/20250401235228cs_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick-theme.css?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235228cs_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick-themedd1b.css	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:33%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:35	98211/98211	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:34%20GMT	https://web.archive.org/web/20250401235238js_/https://nextstagechallenge.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235238js_/https_/nextstagechallenge.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:35%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:36	11352/11352	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:36%20GMT	https://web.archive.org/web/20250401235241js_/https://nextstagechallenge.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235241js_/https_/nextstagechallenge.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:37%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/tinymce/tinymce.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/tinymce/tinymce.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:40	439788/439788	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:39%20GMT	https://web.archive.org/web/20250401235243js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/tinymce/tinymce.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235243js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/tinymce/tinymce.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:40	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:40%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/bootstrap.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/bootstrap.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:41	52373/52373	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:41%20GMT	https://web.archive.org/web/20250401235249js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/bootstrap.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235249js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/bootstrap.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:42	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:42%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:43%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slickdd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:44	1130674/1130674	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:42%20GMT	https://web.archive.org/web/20250401235210js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.min.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235210js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/external_libraries/js/all.mindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:45	90251/90251	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Sep%202025%2011:51:45%20GMT	https://web.archive.org/web/20250401235252js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slick.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235252js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/slick/slickdd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
14:51:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2004%20Sep%202025%2011:51:46%20GMT	https://web.archive.org/web/20250401235146js_/https://nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/js/main.js?ver=5.0.22	C:/Users/Alihan/Desktop/next/next/web.archive.org/web/20250401235146js_/https_/nextstagechallenge.org/wp-content/themes/SpaceHackLuxembourg/assets/js/maindd1b.js	(from https://web.archive.org/web/20250401235146/http://nextstagechallenge.org/)
